Set,PriceEuro,Pieces,Minifigs
Vintage Mickey,,6,1
Vintage Minnie,,7,1
Huey Duck,,7,1
Dewey Duck,,7,1
Louie Duck,,8,1
Scrooge McDuck,,8,1
Chip,,6,1
Dale,,5,1
Elsa,,7,1
Anna,,8,1
Jafar,,8,1
Jasmine,,6,1
Hades,,6,1
Hercules,,8,1
Sally,,7,1
Jack Skellington,,10,1
Edna Mode,,8,1
Frozone,,7,1
LEGO Minifigures - Disney Series 2 - Complete,,129,18
LEGO Minifigures - Disney Series 2 - Sealed Box,,,
LEGO Minifigures - Series 19 {Random Bag},,,
Video Game Champ,,7,1
Shower Guy,,8,1
Fright Knight,,9,1
Monkey King,,12,1
Programmer,,10,1
Mummy Queen,,6,1
Jungle Explorer,,8,1
Fire Fighter,,6,1
Dog Sitter,,9,1
Pizza Costume Guy,,6,1
Galactic Bounty Hunter,,8,1
Gardener,,7,1
Rugby Player,,6,1
Fox Costume Girl,,8,1
Bear Costume Guy,,7,1
Mountain Biker,,10,1
LEGO Minifigures - Series 19 - Complete,,127,16
LEGO Minifigures - Series 19 - Sealed Box,,,
Disney Train and Station,,2925,5 (5 unique to this set)
Naboo Starfighter Microfighter,,62,1
Sith Infiltrator Microfighter,,92,1
Elite Praetorian Guard Battle Pack,,109,5 (3 unique to this set)
Inferno Squad Battle Pack,,118,4 (4 unique to this set)
Darth Vader Bust,,327,
Escape Pod vs. Dewback Microfighters,,177,3 (1 unique to this set)
Death Star Escape,,329,4 (2 unique to this set)
Kylo Ren & Sith Trooper,,240,
Droid Gunship,,389,4
AT-AP Walker,,689,5 (1 unique to this set)
X-wing Starfighter Trench Run,,132,3
Duel on Starkiller Base,,191,2 (1 unique to this set)
TIE Fighter Attack,,77,2
Action Battle Endor Assault,,193,2 (1 unique to this set)
Action Battle Hoth Generator Attack,,235,2 (1 unique to this set)
Major Vonreg's TIE Fighter,,496,4 (4 unique to this set)
Action Battle Echo Base Defense,,504,6 (4 unique to this set)
Black Ace TIE Interceptor,,396,3 (2 unique to this set)
Slave I - 20th Anniversary Edition,,1007,5 (3 unique to this set)
Tantive IV,,1768,6 (2 unique to this set)
LEGO Star Wars Advent Calendar,,280,9 (2 unique to this set)
Death Star Cannon,,159,2
Rebel A-wing Starfighter,,62,2
Resistance A-wing Starfighter,,269,2 (2 unique to this set)
Resistance Y-wing Starfighter,,578,5 (3 unique to this set)
Pasaana Speeder Chase,,373,4 (2 unique to this set)
Darth Vader's Castle,,1060,6 (2 unique to this set)
Imperial Star Destroyer,,4784,2 (2 unique to this set)
Droid Commander,,1177,
AT-ST Raider,,540,4 (2 unique to this set)
Yoda,,1771,1
Kylo Ren's Shuttle,,1005,6 (4 unique to this set)
Millennium Falcon,,1351,7 (2 unique to this set)
Anakin's Podracer – 20th Anniversary Edition,,279,3 (2 unique to this set)
Snowspeeder – 20th Anniversary Edition,,309,4 (3 unique to this set)
Clone Scout Walker – 20th Anniversary Edition,,250,5 (3 unique to this set)
Imperial Dropship – 20th Anniversary Edition,,125,5 (2 unique to this set)
Mini Boost Droid Commander,,62,3 (2 unique to this set)
The Upside Down,,2287,8 (8 unique to this set)
Ferrari F40 Competizione,,198,1 (1 unique to this set)
Chevrolet Camaro ZL1 Race Car,,198,1 (1 unique to this set)
McLaren Senna,,219,1 (1 unique to this set)
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,,478,3 (3 unique to this set)
